Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,Age,Buggy
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,29,3,1,36,27,12.00,29,27,9.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,175,4,2,182,173,45.50,175,173,43.75,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,36,3,1,42,34,14.00,36,34,12.00,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,112,5,3,125,109,25.00,112,109,22.40,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,68,3,1,74,66,24.67,68,66,22.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,88,5,2,105,89,21.00,88,89,17.60,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,46,3,1,52,44,17.33,46,44,15.33,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,117,4,2,130,95,32.50,117,95,29.25,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,74,3,1,80,72,26.67,74,72,24.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,28,3,1,34,26,11.33,28,26,9.33,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,26,3,1,32,24,10.67,26,24,8.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,29,3,1,35,27,11.67,29,27,9.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,43,3,1,50,41,16.67,43,41,14.33,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,34,3,1,40,32,13.33,34,32,11.33,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,26,3,1,32,24,10.67,26,24,8.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,53,4,2,61,46,15.25,53,46,13.25,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,34,3,1,41,32,13.67,34,32,11.33,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,44,3,1,52,42,17.33,44,42,14.67,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,33,3,1,39,31,13.00,33,31,11.00,23,No
3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,45,3,1,53,43,17.67,45,43,15.00,23,No
