Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,No,No,No,117,74,200,48,0.612565,0.709091,0.776985,0.425676
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,No,No,No,148,263,11,17,0.360097,0.896970,0.703948,-0.048501
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,No,No,No,121,88,186,44,0.578947,0.733333,0.704026,0.391405
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,No,No,No,0,0,321,118,NaN,0.000000,0.693146,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,No,No,No,13,2,319,105,0.866667,0.110169,0.660661,0.143563
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,No,No,No,4,3,318,114,0.571429,0.033898,0.501188,0.034947
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,No,No,No,55,27,422,85,0.670732,0.392857,0.825374,0.388041
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,No,No,No,34,3,446,106,0.918919,0.242857,0.795625,0.316232
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,No,No,No,76,49,400,64,0.608000,0.542857,0.717372,0.450328
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,No,No,No,64,59,433,60,0.520325,0.516129,0.810640,0.397409
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,No,No,No,36,20,472,88,0.642857,0.290323,0.801813,0.314088
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,No,No,No,73,288,204,51,0.202216,0.588710,0.537200,0.001950
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,No,No,No,76,76,466,36,0.500000,0.678571,0.862093,0.471546
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,No,No,No,18,8,534,94,0.692308,0.160714,0.828578,0.209883
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,No,No,No,23,12,530,89,0.657143,0.205357,0.609202,0.251920
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,No,No,No,30,100,520,25,0.230769,0.545455,0.766202,0.236943
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,No,No,No,21,15,605,34,0.583333,0.381818,0.856950,0.424432
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,No,No,No,27,389,231,28,0.064904,0.490909,0.431745,-0.034207
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,No,No,Sensitive threshold,156,215,59,9,0.420485,0.945455,0.580392,0.128798
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,No,No,Sensitive threshold,151,267,7,14,0.361244,0.915152,0.470349,-0.045442
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,No,No,Sensitive threshold,121,88,186,44,0.578947,0.733333,0.706083,0.391405
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,No,No,Sensitive threshold,114,271,50,4,0.296104,0.966102,0.560932,0.071039
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,No,No,Sensitive threshold,20,4,317,98,0.833333,0.169492,0.578515,0.209902
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,No,No,Sensitive threshold,4,3,318,114,0.571429,0.033898,0.512276,0.034947
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,No,No,Sensitive threshold,131,326,123,9,0.286652,0.935714,0.604828,0.117842
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,No,No,Sensitive threshold,47,5,444,93,0.903846,0.335714,0.662289,0.414156
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,No,No,Sensitive threshold,76,49,400,64,0.608000,0.542857,0.716863,0.450328
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,No,No,Sensitive threshold,116,282,210,8,0.291457,0.935484,0.681157,0.198377
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,No,No,Sensitive threshold,39,23,469,85,0.629032,0.314516,0.633884,0.329355
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,No,No,Sensitive threshold,73,288,204,51,0.202216,0.588710,0.501672,0.001950
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,No,No,Sensitive threshold,110,307,235,2,0.263789,0.982143,0.707861,0.199843
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,No,No,Sensitive threshold,25,18,524,87,0.581395,0.223214,0.595002,0.251455
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,No,No,Sensitive threshold,23,15,527,89,0.605263,0.205357,0.588841,0.240791
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,No,No,Sensitive threshold,46,309,311,9,0.129577,0.836364,0.668988,0.096971
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,No,No,Sensitive threshold,27,31,589,28,0.465517,0.490909,0.720455,0.430217
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,No,No,Sensitive threshold,27,389,231,28,0.064904,0.490909,0.431745,-0.034207
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,No,No,Sensitive learning,147,141,133,18,0.510417,0.890909,0.771732,0.327718
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,No,No,Sensitive learning,151,267,7,14,0.361244,0.915152,0.703948,-0.045442
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,No,No,Sensitive learning,121,88,186,44,0.578947,0.733333,0.704026,0.391405
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,No,No,Sensitive learning,0,0,321,118,NaN,0.000000,0.701793,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,No,No,Sensitive learning,20,4,317,98,0.833333,0.169492,0.660661,0.209902
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,No,No,Sensitive learning,4,3,318,114,0.571429,0.033898,0.501188,0.034947
