Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
ZOOKEEPER,1,0.021778,0.181347,0.131579,Random Forest,No,No,No,3,9,189,27,0.250000,0.100000,0.669697,0.073171
ZOOKEEPER,1,0.021778,0.181347,0.131579,Naive Bayes,No,No,No,7,16,182,23,0.304348,0.233333,0.772559,0.169283
ZOOKEEPER,1,0.021778,0.181347,0.131579,Ibk,No,No,No,6,36,162,24,0.142857,0.200000,0.543434,0.015544
ZOOKEEPER,2,0.047506,0.154394,0.092105,Random Forest,No,No,No,2,1,206,19,0.666667,0.095238,0.517713,0.147026
ZOOKEEPER,2,0.047506,0.154394,0.092105,Naive Bayes,No,No,No,0,3,204,21,0.000000,0.000000,0.406372,-0.023569
ZOOKEEPER,2,0.047506,0.154394,0.092105,Ibk,No,No,No,3,33,174,18,0.083333,0.142857,0.509317,-0.012539
ZOOKEEPER,3,0.073234,0.132512,0.151079,Random Forest,No,No,No,15,20,216,27,0.428571,0.357143,0.704197,0.292429
ZOOKEEPER,3,0.073234,0.132512,0.151079,Naive Bayes,No,No,No,20,24,212,22,0.454545,0.476190,0.727300,0.367307
ZOOKEEPER,3,0.073234,0.132512,0.151079,Ibk,No,No,No,16,50,186,26,0.242424,0.380952,0.591102,0.136928
ZOOKEEPER,4,0.104604,0.138080,0.109541,Random Forest,No,No,No,4,5,247,27,0.444444,0.129032,0.818164,0.158521
ZOOKEEPER,4,0.104604,0.138080,0.109541,Naive Bayes,No,No,No,13,21,231,18,0.382353,0.419355,0.841910,0.322343
ZOOKEEPER,4,0.104604,0.138080,0.109541,Ibk,No,No,No,16,48,204,15,0.250000,0.516129,0.677227,0.222019
ZOOKEEPER,5,0.136538,0.131405,0.194079,Random Forest,No,No,No,15,1,244,44,0.937500,0.254237,0.832515,0.345830
ZOOKEEPER,5,0.136538,0.131405,0.194079,Naive Bayes,No,No,No,19,15,230,40,0.558824,0.322034,0.784780,0.310800
ZOOKEEPER,5,0.136538,0.131405,0.194079,Ibk,No,No,No,16,35,210,43,0.313725,0.271186,0.556935,0.135293
ZOOKEEPER,6,0.170842,0.143989,0.072368,Random Forest,No,No,No,0,0,282,22,NaN,0.000000,0.693988,0.000000
ZOOKEEPER,6,0.170842,0.143989,0.072368,Naive Bayes,No,No,No,5,14,268,17,0.263158,0.227273,0.692779,0.189542
ZOOKEEPER,6,0.170842,0.143989,0.072368,Ibk,No,No,No,0,0,282,22,NaN,0.000000,0.493230,0.000000
ZOOKEEPER,7,0.205146,0.132013,0.152738,Random Forest,No,No,No,15,20,274,38,0.428571,0.283019,0.765370,0.249758
ZOOKEEPER,7,0.205146,0.132013,0.152738,Naive Bayes,No,No,No,21,29,265,32,0.420000,0.396226,0.815236,0.304655
ZOOKEEPER,7,0.205146,0.132013,0.152738,Ibk,No,No,No,17,30,264,36,0.361702,0.320755,0.618342,0.229356
ZOOKEEPER,8,0.244302,0.135335,0.132768,Random Forest,No,No,No,4,7,300,43,0.363636,0.085106,0.734216,0.092215
ZOOKEEPER,8,0.244302,0.135335,0.132768,Naive Bayes,No,No,No,12,20,287,35,0.375000,0.255319,0.777116,0.219889
ZOOKEEPER,8,0.244302,0.135335,0.132768,Ibk,No,No,No,10,13,294,37,0.434783,0.212766,0.644362,0.217437
ZOOKEEPER,9,0.284247,0.134974,0.078571,Random Forest,No,No,No,10,7,509,34,0.588235,0.227273,0.836439,0.297085
ZOOKEEPER,9,0.284247,0.134974,0.078571,Naive Bayes,No,No,No,22,30,486,22,0.423077,0.500000,0.897243,0.407938
ZOOKEEPER,9,0.284247,0.134974,0.078571,Ibk,No,No,No,5,21,495,39,0.192308,0.113636,0.568820,0.089727
ZOOKEEPER,10,0.347439,0.124716,0.072183,Random Forest,No,No,No,6,9,518,35,0.400000,0.146341,0.750312,0.182680
ZOOKEEPER,10,0.347439,0.124716,0.072183,Naive Bayes,No,No,No,16,34,493,25,0.320000,0.390244,0.838177,0.295789
ZOOKEEPER,10,0.347439,0.124716,0.072183,Ibk,No,No,No,3,33,494,38,0.083333,0.073171,0.528324,0.011181
ZOOKEEPER,11,0.411532,0.116534,0.148718,Random Forest,No,No,No,34,44,288,24,0.435897,0.586207,0.817096,0.397163
ZOOKEEPER,11,0.411532,0.116534,0.148718,Naive Bayes,No,No,No,32,37,295,26,0.463768,0.551724,0.849294,0.408322
ZOOKEEPER,11,0.411532,0.116534,0.148718,Ibk,No,No,No,36,68,264,22,0.346154,0.620690,0.710843,0.313327
ZOOKEEPER,12,0.455541,0.119643,0.174359,Random Forest,No,No,No,11,7,315,57,0.611111,0.161765,0.643519,0.197221
ZOOKEEPER,12,0.455541,0.119643,0.174359,Naive Bayes,No,No,No,13,7,315,55,0.650000,0.191176,0.546538,0.234810
ZOOKEEPER,12,0.455541,0.119643,0.174359,Ibk,No,No,No,1,4,318,67,0.200000,0.014706,0.494428,0.003598
ZOOKEEPER,13,0.499549,0.124464,0.061381,Random Forest,No,No,No,9,16,351,15,0.360000,0.375000,0.809662,0.325074
ZOOKEEPER,13,0.499549,0.124464,0.061381,Naive Bayes,No,No,No,11,32,335,13,0.255814,0.458333,0.791326,0.270915
ZOOKEEPER,13,0.499549,0.124464,0.061381,Ibk,No,No,No,7,16,351,17,0.304348,0.291667,0.629825,0.252996
ZOOKEEPER,14,0.543670,0.119344,0.061224,Random Forest,No,No,No,8,12,356,16,0.400000,0.333333,0.869905,0.326130
ZOOKEEPER,14,0.543670,0.119344,0.061224,Naive Bayes,No,No,No,12,31,337,12,0.279070,0.500000,0.750113,0.303471
ZOOKEEPER,14,0.543670,0.119344,0.061224,Ibk,No,No,No,10,15,353,14,0.400000,0.416667,0.698256,0.368725
ZOOKEEPER,15,0.587903,0.114971,0.148990,Random Forest,No,No,No,11,5,332,48,0.687500,0.186441,0.845899,0.245362
ZOOKEEPER,15,0.587903,0.114971,0.148990,Naive Bayes,No,No,No,25,18,319,34,0.581395,0.423729,0.774481,0.416955
ZOOKEEPER,15,0.587903,0.114971,0.148990,Ibk,No,No,No,16,24,313,43,0.400000,0.271186,0.609717,0.230600
ZOOKEEPER,16,0.632589,0.117374,0.151079,Random Forest,No,No,No,26,9,345,37,0.742857,0.412698,0.895346,0.473831
ZOOKEEPER,16,0.632589,0.117374,0.151079,Naive Bayes,No,No,No,30,17,337,33,0.638298,0.476190,0.792485,0.478071
ZOOKEEPER,16,0.632589,0.117374,0.151079,Ibk,No,No,No,27,22,332,36,0.551020,0.428571,0.702852,0.403257
ZOOKEEPER,17,0.679643,0.119708,0.120000,Random Forest,No,No,No,16,6,368,35,0.727273,0.313725,0.875433,0.394566
ZOOKEEPER,17,0.679643,0.119708,0.120000,Naive Bayes,No,No,No,24,25,349,27,0.489796,0.470588,0.834172,0.410698
ZOOKEEPER,17,0.679643,0.119708,0.120000,Ibk,No,No,No,17,17,357,34,0.500000,0.333333,0.643048,0.336283
ZOOKEEPER,18,0.727601,0.119727,0.093023,Random Forest,No,No,No,23,8,382,17,0.741935,0.575000,0.935064,0.616756
ZOOKEEPER,18,0.727601,0.119727,0.093023,Naive Bayes,No,No,No,21,30,360,19,0.411765,0.525000,0.838462,0.398859
ZOOKEEPER,18,0.727601,0.119727,0.093023,Ibk,No,No,No,16,17,373,24,0.484848,0.400000,0.700513,0.386783
ZOOKEEPER,19,0.776123,0.118058,0.102326,Random Forest,No,No,No,31,6,380,13,0.837838,0.704545,0.963053,0.741243
ZOOKEEPER,19,0.776123,0.118058,0.102326,Naive Bayes,No,No,No,24,30,356,20,0.444444,0.545455,0.865933,0.424949
ZOOKEEPER,19,0.776123,0.118058,0.102326,Ibk,No,No,No,26,12,374,18,0.684211,0.590909,0.795808,0.595814
ZOOKEEPER,20,0.824645,0.117132,0.231092,Random Forest,No,No,No,36,10,356,74,0.782609,0.327273,0.765835,0.376575
ZOOKEEPER,20,0.824645,0.117132,0.231092,Naive Bayes,No,No,No,43,33,333,67,0.565789,0.390909,0.664009,0.337195
ZOOKEEPER,20,0.824645,0.117132,0.231092,Ibk,No,No,No,22,11,355,88,0.666667,0.200000,0.606806,0.225036
ZOOKEEPER,21,0.878357,0.124101,0.163462,Random Forest,No,No,No,34,14,421,51,0.708333,0.400000,0.872684,0.445902
ZOOKEEPER,21,0.878357,0.124101,0.163462,Naive Bayes,No,No,No,42,30,405,43,0.583333,0.494118,0.830926,0.453026
ZOOKEEPER,21,0.878357,0.124101,0.163462,Ibk,No,No,No,31,28,407,54,0.525424,0.364706,0.664773,0.342483
ZOOKEEPER,22,0.937035,0.126566,0.277778,Random Forest,No,No,No,36,11,392,119,0.765957,0.232258,0.789690,0.260897
ZOOKEEPER,22,0.937035,0.126566,0.277778,Naive Bayes,No,No,No,62,22,381,93,0.738095,0.400000,0.812327,0.402080
ZOOKEEPER,22,0.937035,0.126566,0.277778,Ibk,No,No,No,67,111,292,88,0.376404,0.432258,0.581934,0.149976
ZOOKEEPER,1,0.021778,0.181347,0.131579,Random Forest,No,No,Sensitive threshold,26,158,40,4,0.141304,0.866667,0.534343,0.021615
ZOOKEEPER,1,0.021778,0.181347,0.131579,Naive Bayes,No,No,Sensitive threshold,11,21,177,19,0.343750,0.366667,0.630303,0.253438
ZOOKEEPER,1,0.021778,0.181347,0.131579,Ibk,No,No,Sensitive threshold,6,36,162,24,0.142857,0.200000,0.509091,0.015544
ZOOKEEPER,2,0.047506,0.154394,0.092105,Random Forest,No,No,Sensitive threshold,9,79,128,12,0.102273,0.428571,0.523464,0.019285
ZOOKEEPER,2,0.047506,0.154394,0.092105,Naive Bayes,No,No,Sensitive threshold,2,3,204,19,0.400000,0.095238,0.540373,0.122770
ZOOKEEPER,2,0.047506,0.154394,0.092105,Ibk,No,No,Sensitive threshold,4,37,170,17,0.097561,0.190476,0.505866,0.008217
ZOOKEEPER,3,0.073234,0.132512,0.151079,Random Forest,No,No,Sensitive threshold,33,131,105,9,0.201220,0.785714,0.615315,0.105123
ZOOKEEPER,3,0.073234,0.132512,0.151079,Naive Bayes,No,No,Sensitive threshold,22,35,201,20,0.385965,0.523810,0.687752,0.327439
ZOOKEEPER,3,0.073234,0.132512,0.151079,Ibk,No,No,Sensitive threshold,16,52,184,26,0.235294,0.380952,0.580307,0.128036
ZOOKEEPER,4,0.104604,0.138080,0.109541,Random Forest,No,No,Sensitive threshold,26,89,163,5,0.226087,0.838710,0.742768,0.221891
ZOOKEEPER,4,0.104604,0.138080,0.109541,Naive Bayes,No,No,Sensitive threshold,15,25,227,16,0.375000,0.483871,0.692332,0.341225
ZOOKEEPER,4,0.104604,0.138080,0.109541,Ibk,No,No,Sensitive threshold,16,48,204,15,0.250000,0.516129,0.662826,0.222019
ZOOKEEPER,5,0.136538,0.131405,0.194079,Random Forest,No,No,Sensitive threshold,39,30,215,20,0.565217,0.661017,0.769284,0.506012
ZOOKEEPER,5,0.136538,0.131405,0.194079,Naive Bayes,No,No,Sensitive threshold,24,18,227,35,0.571429,0.406780,0.666655,0.374243
ZOOKEEPER,5,0.136538,0.131405,0.194079,Ibk,No,No,Sensitive threshold,16,36,209,43,0.307692,0.271186,0.562124,0.130107
ZOOKEEPER,6,0.170842,0.143989,0.072368,Random Forest,No,No,Sensitive threshold,0,0,282,22,NaN,0.000000,0.500000,0.000000
ZOOKEEPER,6,0.170842,0.143989,0.072368,Naive Bayes,No,No,Sensitive threshold,6,22,260,16,0.214286,0.272727,0.597357,0.172967
ZOOKEEPER,6,0.170842,0.143989,0.072368,Ibk,No,No,Sensitive threshold,0,0,282,22,NaN,0.000000,0.500000,0.000000
ZOOKEEPER,7,0.205146,0.132013,0.152738,Random Forest,No,No,Sensitive threshold,41,123,171,12,0.250000,0.773585,0.677609,0.191142
ZOOKEEPER,7,0.205146,0.132013,0.152738,Naive Bayes,No,No,Sensitive threshold,30,39,255,23,0.434783,0.566038,0.716692,0.385665
ZOOKEEPER,7,0.205146,0.132013,0.152738,Ibk,No,No,Sensitive threshold,17,30,264,36,0.361702,0.320755,0.609357,0.229356
ZOOKEEPER,8,0.244302,0.135335,0.132768,Random Forest,No,No,Sensitive threshold,36,139,168,11,0.205714,0.765957,0.656594,0.145450
ZOOKEEPER,8,0.244302,0.135335,0.132768,Naive Bayes,No,No,Sensitive threshold,14,25,282,33,0.358974,0.297872,0.608220,0.233251
ZOOKEEPER,8,0.244302,0.135335,0.132768,Ibk,No,No,Sensitive threshold,10,13,294,37,0.434783,0.212766,0.585210,0.217437
ZOOKEEPER,9,0.284247,0.134974,0.078571,Random Forest,No,No,Sensitive threshold,35,158,358,9,0.181347,0.795455,0.744626,0.191954
ZOOKEEPER,9,0.284247,0.134974,0.078571,Naive Bayes,No,No,Sensitive threshold,23,42,474,21,0.353846,0.522727,0.720666,0.362256
ZOOKEEPER,9,0.284247,0.134974,0.078571,Ibk,No,No,Sensitive threshold,5,21,495,39,0.192308,0.113636,0.536469,0.089727
ZOOKEEPER,10,0.347439,0.124716,0.072183,Random Forest,No,No,Sensitive threshold,24,96,431,17,0.200000,0.585366,0.701601,0.213508
ZOOKEEPER,10,0.347439,0.124716,0.072183,Naive Bayes,No,No,Sensitive threshold,23,44,483,18,0.343284,0.560976,0.738742,0.369454
ZOOKEEPER,10,0.347439,0.124716,0.072183,Ibk,No,No,Sensitive threshold,3,33,494,38,0.083333,0.073171,0.505276,0.011181
ZOOKEEPER,11,0.411532,0.116534,0.148718,Random Forest,No,No,Sensitive threshold,52,145,187,6,0.263959,0.896552,0.729902,0.231181
ZOOKEEPER,11,0.411532,0.116534,0.148718,Naive Bayes,No,No,Sensitive threshold,39,55,277,19,0.414894,0.672414,0.753376,0.403423
ZOOKEEPER,11,0.411532,0.116534,0.148718,Ibk,No,No,Sensitive threshold,36,68,264,22,0.346154,0.620690,0.707935,0.313327
ZOOKEEPER,12,0.455541,0.119643,0.174359,Random Forest,No,No,Sensitive threshold,25,63,259,43,0.284091,0.367647,0.585997,0.154117
ZOOKEEPER,12,0.455541,0.119643,0.174359,Naive Bayes,No,No,Sensitive threshold,13,8,314,55,0.619048,0.191176,0.583166,0.228668
ZOOKEEPER,12,0.455541,0.119643,0.174359,Ibk,No,No,Sensitive threshold,1,4,318,67,0.200000,0.014706,0.501142,0.003598
ZOOKEEPER,13,0.499549,0.124464,0.061381,Random Forest,No,No,Sensitive threshold,20,138,229,4,0.126582,0.833333,0.728656,0.126710
ZOOKEEPER,13,0.499549,0.124464,0.061381,Naive Bayes,No,No,Sensitive threshold,12,42,325,12,0.222222,0.500000,0.692779,0.243389
ZOOKEEPER,13,0.499549,0.124464,0.061381,Ibk,No,No,Sensitive threshold,7,23,344,17,0.233333,0.291667,0.614498,0.205042
ZOOKEEPER,14,0.543670,0.119344,0.061224,Random Forest,No,No,Sensitive threshold,20,53,315,4,0.273973,0.833333,0.844656,0.352723
ZOOKEEPER,14,0.543670,0.119344,0.061224,Naive Bayes,No,No,Sensitive threshold,14,42,326,10,0.250000,0.583333,0.734601,0.289062
ZOOKEEPER,14,0.543670,0.119344,0.061224,Ibk,No,No,Sensitive threshold,10,15,353,14,0.400000,0.416667,0.687953,0.368725
ZOOKEEPER,15,0.587903,0.114971,0.148990,Random Forest,No,No,Sensitive threshold,35,36,301,24,0.492958,0.593220,0.743198,0.448749
ZOOKEEPER,15,0.587903,0.114971,0.148990,Naive Bayes,No,No,Sensitive threshold,30,27,310,29,0.526316,0.508475,0.714178,0.434430
ZOOKEEPER,15,0.587903,0.114971,0.148990,Ibk,No,No,Sensitive threshold,16,24,313,43,0.400000,0.271186,0.599985,0.230600
ZOOKEEPER,16,0.632589,0.117374,0.151079,Random Forest,No,No,Sensitive threshold,53,51,303,10,0.509615,0.841270,0.848601,0.550066
